replicas,clients,ports,rd_frac,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
3,1,4,0,66.3058,0.0150924,0,0
3,1,4,50,10.603,0.0943381,0,0
3,1,4,100,10.633,0.0940757,0,0
3,20,4,0,39.4318,0.507747,0.371641,0.535163
3,20,4,50,11.8149,1.69571,0,0
3,20,4,100,11.7984,1.69966,0,0
3,50,4,0,57.5657,0.892026,0.686599,0.988703
3,50,4,50,12.5126,4.00358,0,0
3,50,4,100,12.5723,3.98118,0,0
3,100,4,0,495.291,1.00423,0,0
3,100,4,50,14.1722,7.07117,0,0
3,100,4,100,14.0974,7.10282,0,0
3,150,4,0,168.377,0.891139,0.769662,1.10831
3,150,4,50,17.7105,8.4774,0,0
3,150,4,100,17.6562,8.50446,0,0
3,180,4,0,209.249,0.860591,0.772989,1.1131
3,180,4,50,21.7642,8.27469,0,0
3,180,4,100,22.743,7.92658,0,0
3,200,4,0,244.03,0.820864,0.723465,1.04179
3,200,4,50,24.2938,8.23985,0,0
3,200,4,100,24.6067,8.13499,0,0
3,250,4,0,283.655,0.881609,0.770432,1.10942
3,250,4,50,30.4901,8.20491,0,0
3,250,4,100,30.9807,8.07442,0,0
3,300,4,0,345.26,0.870066,0.77737,1.11941
3,300,4,50,36.0207,8.33013,0,0
3,300,4,100,36.5919,8.20156,0,0
3,350,4,0,402.588,0.870024,0.767807,1.10564
3,350,4,50,43.3538,8.07646,0,0
3,350,4,100,43.3296,8.08034,0,0
3,400,4,0,465.609,0.859587,0.757441,1.09071
3,400,4,50,71.5092,5.69749,0,0
3,400,4,100,49.5958,8.06751,0,0
