replicas,clients,payload,ports,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
1,1,0,1,22.166,0.0451196,0,0
1,20,0,1,25.0669,0.797875,0.403193,0.193533
1,50,0,1,74.163,0.674249,0.794871,0.381538
1,100,0,1,142.595,0.701351,0.797867,0.382976
1,150,0,1,193.274,0.776145,0.783435,0.376049
1,180,0,1,235.564,0.764149,0.789716,0.379064
1,200,0,1,289.198,0.691593,0.786349,0.377448
1,250,0,1,325.557,0.767945,0.791929,0.380126
1,300,0,1,371.599,0.809007,0.799852,0.383929
1,350,0,1,421.181,0.831236,0.791593,0.379964
1,400,0,1,456.368,1.09966,0.791389,0.379867
2,1,0,1,32.1401,0.0311143,0,0
2,20,0,1,36.2176,0.552342,0.494316,0.474543
2,50,0,1,73.9746,0.676048,0.788186,0.756658
2,100,0,1,137.775,0.725939,0.786565,0.755102
2,150,0,1,186.129,0.805993,0.791006,0.759366
2,180,0,1,247.037,0.729024,0.752918,0.722801
2,200,0,1,282.541,0.707916,0.787122,0.755637
2,250,0,1,332.475,0.751983,0.779522,0.748341
2,300,0,1,372.529,0.816857,0.768997,0.738237
2,350,0,1,383.344,1.20211,0.786955,0.755477
2,400,0,1,515.579,0.776884,0.782006,0.750726
3,1,0,1,310.267,0.00322333,0,0
3,20,0,1,39.8335,0.502273,0.404812,0.582929
3,50,0,1,70.7237,0.70719,0.78687,1.13309
3,100,0,1,144.662,0.691326,0.746934,1.07558
3,150,0,1,111.532,2.23066,0.493962,0.711305
3,180,0,1,235.428,0.764742,0,0
3,200,0,1,287.332,0.696141,0.788923,1.13605
3,250,0,1,336.978,0.74217,0.788755,1.13581
3,300,0,1,373.258,0.813075,0.78138,1.12519
3,350,0,1,82.8843,5.22534,0,0
3,400,0,1,493.971,0.858728,0.790018,1.13763
1,1,0,2,21.9849,0.0454898,0,0
1,20,0,2,24.6183,0.812408,0.405807,0.194788
1,50,0,2,75.6133,0.661359,0.779882,0.374343
1,100,0,2,142.795,0.700389,0.782168,0.375441
1,150,0,2,188.413,0.796152,0.794493,0.381357
1,180,0,2,240.678,0.747939,0.788726,0.378588
1,200,0,2,285.86,0.699663,0.786423,0.377483
1,250,0,2,334.342,0.74776,0.793677,0.380965
1,300,0,2,366.656,0.826511,0.796325,0.382236
1,350,0,2,391.62,1.07074,0.797277,0.382693
