replicas,clients,payload,ports,quorums,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
3,300,0,4,1,934.056,0.963525,0.144426,0.207974
3,300,0,4,2,716.914,3.02101,0.709727,1.02201
3,300,0,4,3,330.244,1.17621,0.800921,1.15333
3,300,0,4,4,318.142,1.01852,0.707087,1.01821
3,300,0,4,5,339.965,0.989192,0.754825,1.08695
3,300,0,4,6,446.325,1.37732,0.689079,0.992274
3,300,0,4,7,371.608,0.809993,0.787637,1.1342
3,300,0,4,8,367.303,0.878744,0.771761,1.11134
3,300,190,4,1,379.457,0.790853,0.827563,4.96538
3,300,190,4,2,151.636,2.11048,0.450749,2.70449
3,300,190,4,3,371.264,0.808283,0.833834,5.003
3,300,190,4,4,368.97,0.820888,0.794998,4.76999
3,300,190,4,5,372.141,0.824928,0.812766,4.8766
3,300,190,4,6,371.183,0.815199,0.799923,4.79954
3,300,190,4,7,1759.13,0.569498,0,0
3,300,190,4,8,161.66,1.85575,0,0
3,300,512,4,1,1518.8,0.244095,0.330686,4.53965
3,300,512,4,2,609.087,1.55226,0.666771,9.15343
3,300,512,4,3,373.142,0.807407,0.832765,11.4322
3,300,512,4,4,242.706,1.96839,0.60555,8.31299
3,300,512,4,5,362.664,0.831959,0.783735,10.7591
3,300,512,4,6,373.687,0.803283,0.810486,11.1264
3,300,512,4,7,370.846,0.821551,0.795522,10.9209
3,300,512,4,8,382.528,0.78441,0.780117,10.7094
