replicas,clients,payload,ports,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
1,1,0,1,9.97891,0.100228,0.0581901,0.0279312
1,1,190,1,11.3548,0.0880689,0.0536298,0.10726
1,1,512,1,12.9607,0.0771812,0,0
1,20,0,1,11.0729,1.80682,0.908946,0.436294
1,20,190,1,12.315,1.62427,0.807535,1.61507
1,20,512,1,13.8884,1.44025,0.714663,3.2703
1,50,0,1,17.1968,2.90813,2.43104,1.1669
1,50,190,1,18.5615,2.69418,2.21528,4.43055
1,50,512,1,22.5236,2.21999,1.82771,8.3636
1,100,0,1,22.4023,4.46415,4.29653,2.06233
1,100,190,1,25.5646,3.91172,3.72023,7.44046
1,100,512,1,49.6043,2.01596,1.90336,8.70979
1,150,0,1,25.4254,5.89976,5.47988,2.63034
1,150,190,1,34.7763,4.31343,3.97316,7.94632
1,150,512,1,71.7297,2.09118,1.90696,8.72624
1,180,0,1,27.4542,6.55719,6.22593,2.98845
1,180,190,1,42.8725,4.19851,3.97443,7.94887
1,180,512,1,88.3803,2.03666,1.90269,8.70671
1,200,0,1,28.9838,6.90091,6.6832,3.20794
1,200,190,1,48.2909,4.14158,3.976,7.95199
1,200,512,1,99.4685,2.0107,1.90338,8.70987
1,250,0,1,31.0735,8.04587,7.54098,3.61967
1,250,190,1,59.1606,4.22588,3.97337,7.94675
1,250,512,1,121.532,2.05707,1.90331,8.70954
1,300,0,1,34.883,8.60154,8.28187,3.9753
1,300,190,1,72.7822,4.12189,3.97295,7.9459
1,300,512,1,149.397,2.00807,1.90331,8.70953
1,350,0,1,37.9048,9.23375,8.77918,4.21401
1,350,190,1,83.579,4.18766,3.97597,7.95194
1,350,512,1,172.25,2.03193,1.90327,8.70938
1,400,0,1,43.0795,9.28555,9.02205,4.33059
1,400,190,1,96.9464,4.126,3.97382,7.94764
1,400,512,1,216.164,1.85045,1.90333,8.70966
2,1,0,1,201.249,0.00497091,0,0
2,1,190,1,126.255,0.00793095,0,0
2,1,512,1,247.984,0.0040335,0,0
2,20,0,1,23.5171,0.850533,0.755993,0.725754
2,20,190,1,25.2746,0.791341,0.700554,2.80222
2,20,512,1,29.3152,0.682292,0.590791,5.40692
2,50,0,1,27.3015,1.83144,1.70673,1.63846
2,50,190,1,29.2389,1.71008,1.57246,6.28982
2,50,512,1,46.7545,1.06944,0.980277,8.9715
2,100,0,1,39.5544,2.52818,2.42855,2.3314
2,100,190,1,51.9937,1.92333,1.82581,7.30325
2,100,512,1,94.2438,1.06109,0.979549,8.96483
2,150,0,1,45.9247,3.26627,3.15757,3.03127
2,150,190,1,77.945,1.92444,1.83303,7.33211
2,150,512,1,141.463,1.06035,0.979912,8.96816
2,180,0,1,47.2244,3.81168,3.67329,3.52636
2,180,190,1,74.9587,2.40136,2.30648,9.22592
2,180,512,1,106.641,1.68792,1.60234,14.6646
2,200,0,1,54.0068,3.70328,3.61455,3.46997
2,200,190,1,83.3292,2.40013,2.30961,9.23842
2,200,512,1,164.979,1.21229,1.13338,10.3727
2,250,0,1,63.5598,3.93334,3.81951,3.66673
2,250,190,1,117.215,2.13285,2.03724,8.14898
2,250,512,1,176.322,1.41808,1.34097,12.2725
2,300,0,1,64.6962,4.63742,4.51448,4.3339
2,300,190,1,110.505,2.71542,2.62238,10.4895
2,300,512,1,211.381,1.41934,1.34248,12.2864
2,350,0,1,78.638,4.45225,4.3444,4.17062
2,350,190,1,129.188,2.70925,2.6146,10.4584
2,350,512,1,329.691,1.06161,0.978838,8.95833
2,400,0,1,79.8102,5.01192,4.89764,4.70174
2,400,190,1,187.125,2.13762,2.05083,8.20332
2,400,512,1,329.958,1.21229,1.13372,10.3758
3,1,0,1,288.969,0.00346096,0,0
3,1,190,1,207.017,0.00483244,0,0
3,1,512,1,129.68,0.00771951,0,0
3,20,0,1,24.5132,0.815913,0.646234,0.930577
3,20,190,1,26.3938,0.757765,0.587872,3.52723
3,20,512,1,30.3362,0.659305,0.506351,6.95118
3,50,0,1,28.1862,1.78832,1.11894,1.61128
