replicas,payload,latency(us),throughput(Mop/sec),network(Gbps)
1,0,9.95739,0.0175347,0.0336666
1,190,11.2841,0.0158528,0.126822
1,512,12.9305,0.00896175,0.164036
1,0,11.1866,0.234237,0.449736
1,190,12.4169,0.209605,1.67684
1,512,14.1059,0.184847,3.38344
1,0,15.4426,0.680203,1.30599
1,190,17.4555,0.596764,4.77412
1,512,22.2438,0.468714,8.57934
1,0,21.5301,1.12468,2.15939
1,190,24.766,0.97085,7.7668
1,512,49.2446,0.485663,8.88957
1,0,26.5755,1.31476,2.52435
1,190,34.5687,1.00326,8.0261
1,512,71.5668,0.486044,8.89655
1,0,30.8236,1.39626,2.68082
1,190,42.8794,1.00319,8.02553
1,512,88.327,0.485519,8.88694
1,0,33.8002,1.43426,2.75378
1,190,48.3168,1.00194,8.01553
1,512,99.4978,0.485822,8.89249
1,0,40.518,1.45854,2.80039
1,190,58.9934,1.00393,8.03144
1,512,121.555,0.485821,8.89247
1,0,49.3068,1.46913,2.82073
1,190,72.7006,1.00401,8.03209
1,512,149.446,0.486025,8.89621
1,0,56.5904,1.48374,2.84878
1,190,83.4543,1.00247,8.01976
1,512,172.027,0.486052,8.89669
1,0,65.7633,1.48933,2.85951
1,190,97.4247,1.00357,8.02855
1,512,216.764,0.485741,8.891
2,0,20.269,0.00715307,0.0274678
2,512,24.284,0.00645579,0.236334
2,0,23.7585,0.19621,0.753445
2,190,25.9609,0.178324,2.85318
2,512,29.1348,0.157203,5.75489
2,0,28.857,0.416988,1.60123
2,190,32.7914,0.364729,5.83566
2,512,37.253,0.321065,10
2,0,35.6091,0.685164,2.63103
2,190,41.3241,0.5824,9.31839
2,512,64.3711,0.375405,10
2,0,47.6854,0.765362,2.93899
2,190,72.592,0.501391,8.02226
2,512,122.753,0.293807,10
2,0,50.336,0.87905,3.37555
2,190,86.956,0.505263,8.08421
2,512,189.795,0.226536,8.29302
2,0,53.2436,0.918957,3.52879
2,190,81.9767,0.596646,9.54634
2,512,164.152,0.293715,10
2,0,59.1969,1.04416,4.00956
2,190,101.74,0.601859,9.62974
2,512,263.238,0.227276,8.32011
2,0,71.865,1.02044,3.91848
2,190,145.962,0.503487,8.0558
2,512,316.568,0.226193,8.28048
2,0,78.5167,1.09429,4.20206
2,190,142.447,0.601761,9.62817
2,512,367.155,0.226367,8.28686
2,0,81.8778,1.20204,4.61582
2,190,193.218,0.505667,8.09068
2,512,333.959,0.291042,10
3,0,20.49,1.02044,5.87772
3,190,277.208,0.00715307,0.171674
3,512,275.87,1.02044,10
3,0,23.6267,0.174154,1.00312
3,190,26.3057,0.157624,3.78297
3,512,29.0346,0.142903,7.84708
3,0,28.2667,0.256969,1.48014
3,190,35.6311,0.298644,7.16745
3,512,40.4822,0.265299,10
3,0,36.4111,0.0156317,0.0900383
3,512,88.6491,0.269881,10
3,0,47.2806,0.741431,4.27064
3,190,88.0583,0.398112,9.5547
3,512,233.341,0.144784,7.95036
3,0,50.7359,0.84608,4.87342
3,190,82.7571,0.530981,10
3,512,220.682,0.2322,10
3,0,52.7832,0.918278,5.28928
3,190,120.557,0.39943,9.58632
3,512,228.179,0.203785,10
3,0,57.765,1.03815,5.97976
3,190,148.658,0.492406,10
3,512,302.91,0.191236,10
3,0,69.329,1.051,6.05378
3,190,179.059,0.404134,9.69922
3,512,263.848,0.270132,10
3,0,76.8167,1.10647,6.37329
3,190,191.98,0.42086,10
3,512,301.888,0.272778,10
3,0,82.1635,1.19451,6.88037
3,190,240.589,0.401173,9.62815
3,512,492.376,0.192131,10
